300MHz Spectrometer, CHL-D
Frequency (Hz),Intensity
4266.6,-456.6
4266.30768115,-481.4
4266.0153623,-566.4
4265.72304346,-685.0
4265.43072461,-655.6
4265.13840576,-633.0
4264.84608691,-483.9
4264.55376806,-582.4
4264.26144922,-555.1
4263.96913037,-710.5
4263.67681152,-647.6
4263.38449267,-457.0
4263.09217382,-439.1
4262.79985498,-613.5
4262.50753613,-524.3
4262.21521728,-583.5
4261.92289843,-704.9
4261.63057958,-374.9
4261.33826074,-192.0
4261.04594189,-227.1
4260.75362304,-586.3
4260.46130419,-712.5
4260.16898534,-464.3
4259.8766665,-598.6
4259.58434765,-344.0
4259.2920288,-438.6
4258.99970995,-339.0
4258.7073911,-413.3
4258.41507226,-586.9
4258.12275341,-321.3
4257.83043456,-436.8
4257.53811571,-480.5
4257.24579686,-495.5
4256.95347802,-644.3
4256.66115917,-641.0
4256.36884032,-375.3
4256.07652147,-431.8
4255.78420262,-618.3
4255.49188378,-605.0
4255.19956493,-321.9
4254.90724608,-290.8
4254.61492723,-268.4
4254.32260838,-312.3
4254.03028954,-648.0
4253.73797069,-656.1
4253.44565184,-276.4
4253.15333299,-339.8
4252.86101414,-420.1
4252.5686953,-451.8
4252.27637645,-244.1
4251.9840576,-401.5
4251.69173875,-485.0
4251.3994199,-326.8
4251.10710106,-670.3
4250.81478221,-795.6
4250.52246336,-752.1
4250.23014451,-431.9
4249.93782566,-274.5
4249.64550682,-347.1
4249.35318797,-375.3
4249.06086912,-412.8
4248.76855027,-254.6
4248.47623142,-344.4
4248.18391258,-281.5
4247.89159373,-148.8
4247.59927488,-340.4
4247.30695603,-195.1
4247.01463718,-282.8
4246.72231834,-452.9
4246.42999949,-569.1
4246.13768064,-435.9
4245.84536179,-402.5
4245.55304294,-367.6
4245.2607241,-416.4
4244.96840525,-513.4
4244.6760864,-605.9
4244.38376755,-597.3
4244.0914487,-425.9
4243.79912986,-447.9
4243.50681101,-415.8
4243.21449216,-183.3
4242.92217331,-555.5
4242.62985446,-592.9
4242.33753562,-801.1
4242.04521677,-693.4
4241.75289792,-699.1
4241.46057907,-426.5
4241.16826022,-364.3
4240.87594138,-540.1
4240.58362253,-684.3
4240.29130368,-542.6
4239.99898483,-480.9
4239.70666598,-275.6
4239.41434714,-423.1
4239.12202829,-674.3
4238.82970944,-381.5
4238.53739059,-275.9
4238.24507174,-399.9
4237.9527529,-481.4
4237.66043405,-652.1
4237.3681152,-429.6
4237.07579635,-439.4
4236.7834775,-124.3
4236.49115866,-218.9
4236.19883981,-450.6
4235.90652096,-510.6
4235.61420211,-637.8
4235.32188326,-426.4
4235.02956442,-435.3
4234.73724557,-477.9
4234.44492672,-498.9
4234.15260787,-535.9
4233.86028902,-644.9
4233.56797018,-826.8
4233.27565133,-817.5
4232.98333248,-519.1
4232.69101363,-350.4
4232.39869478,-438.4
4232.10637594,-757.8
